src/main/resources/data/resumes/station.txt
Size of objects array: 9073
Elements saved on DataBase:

Station [codename=null, latitude=0.0, longitude=0.0, basin=null]
Station [codename=47000, latitude=3900.0, longitude=-473300.0, basin=-]
Station [codename=47001, latitude=5000.0, longitude=-473000.0, basin=-]
Station [codename=47002, latitude=3723.0, longitude=-472113.0, basin=-]
Station [codename=47003, latitude=4415.0, longitude=-475113.0, basin=-]
Station [codename=47004, latitude=5546.0, longitude=-470558.0, basin=-]
Station [codename=47005, latitude=3801.0, longitude=-473930.0, basin=-]
Station [codename=47006, latitude=4629.0, longitude=-471039.0, basin=-]
Station [codename=47007, latitude=4740.0, longitude=-473559.0, basin=-]
Station [codename=48000, latitude=4400.0, longitude=-483100.0, basin=-]
Station [codename=48002, latitude=5400.0, longitude=-483800.0, basin=-]
Station [codename=48003, latitude=3300.0, longitude=-484700.0, basin=-]
Station [codename=48004, latitude=2000.0, longitude=-483100.0, basin=-]
Station [codename=48005, latitude=1200.0, longitude=-485500.0, basin=-]
Station [codename=48006, latitude=5205.0, longitude=-480637.0, basin=-]
Station [codename=49000, latitude=5900.0, longitude=-495700.0, basin=-]
Station [codename=49001, latitude=3700.0, longitude=-491000.0, basin=-]
Station [codename=49002, latitude=4900.0, longitude=-490900.0, basin=-]
Station [codename=49003, latitude=5000.0, longitude=-494600.0, basin=-]
Station [codename=49004, latitude=1300.0, longitude=-492800.0, basin=-]
Station [codename=49006, latitude=1500.0, longitude=-491600.0, basin=-]
Station [codename=49007, latitude=2400.0, longitude=-495400.0, basin=-]
Station [codename=49008, latitude=3200.0, longitude=-492400.0, basin=-]
Station [codename=49009, latitude=5907.0, longitude=-495622.0, basin=-]
Station [codename=49010, latitude=-36791.0, longitude=-495911.0, basin=-]
Station [codename=49011, latitude=-12459.0, longitude=-485733.0, basin=-]
Station [codename=49012, latitude=-10059.0, longitude=-485733.0, basin=-]
Station [codename=50000, latitude=900.0, longitude=-500000.0, basin=-]
Station [codename=50001, latitude=600.0, longitude=-502300.0, basin=-]
Station [codename=50002, latitude=4800.0, longitude=-504200.0, basin=-]
Station [codename=50003, latitude=937.0, longitude=-502322.0, basin=-]
Station [codename=51000, latitude=300.0, longitude=-511100.0, basin=-]
Station [codename=51001, latitude=300.0, longitude=-510400.0, basin=-]
Station [codename=51002, latitude=2357.0, longitude=-512513.0, basin=-]
Station [codename=51003, latitude=1100.0, longitude=-514800.0, basin=-]
Station [codename=51004, latitude=1050.0, longitude=-514409.0, basin=-]
Station [codename=51005, latitude=4741.0, longitude=-513726.0, basin=-]
Station [codename=52000, latitude=3416.0, longitude=-523430.0, basin=-]
Station [codename=52001, latitude=800.0, longitude=-525600.0, basin=-]
Station [codename=52002, latitude=3600.0, longitude=-523600.0, basin=-]
Station [codename=52003, latitude=2724.0, longitude=-520439.0, basin=-]
Station [codename=53000, latitude=2500.0, longitude=-534200.0, basin=-]
Station [codename=54000, latitude=5800.0, longitude=-542600.0, basin=-]
Station [codename=54001, latitude=5700.0, longitude=-545500.0, basin=-]
Station [codename=57000, latitude=4143.0, longitude=-575827.0, basin=-]
Station [codename=59001, latitude=5158.0, longitude=-593617.0, basin=-]
Station [codename=60000, latitude=5131.0, longitude=-603112.0, basin=-]
Station [codename=60001, latitude=1339.0, longitude=-604127.0, basin=-]
Station [codename=61000, latitude=3019.0, longitude=-614711.0, basin=-]
Station [codename=61001, latitude=5225.0, longitude=-615556.0, basin=-]
Station [codename=62000, latitude=5804.0, longitude=-625543.0, basin=-]
Station [codename=62001, latitude=1804.0, longitude=-624544.0, basin=-]
Station [codename=63000, latitude=3607.0, longitude=-632302.0, basin=-]
Station [codename=63001, latitude=2200.0, longitude=-631400.0, basin=-]
Station [codename=64001, latitude=4236.0, longitude=-644746.0, basin=-]
Station [codename=64002, latitude=3531.0, longitude=-644932.0, basin=-]
Station [codename=65000, latitude=2500.0, longitude=-650200.0, basin=-]
Station [codename=65001, latitude=-36687.0, longitude=-650057.0, basin=-]
Station [codename=65002, latitude=3226.0, longitude=-651244.0, basin=-]
Station [codename=66000, latitude=1727.0, longitude=-660851.0, basin=-]
Station [codename=66001, latitude=3900.0, longitude=-664500.0, basin=-]
Station [codename=66002, latitude=-36866.0, longitude=-664813.0, basin=-]
Station [codename=67000, latitude=759.0, longitude=-670515.0, basin=-]
Station [codename=67001, latitude=-36748.0, longitude=-670505.0, basin=-]
Station [codename=67002, latitude=2032.0, longitude=-673149.0, basin=-]
Station [codename=69001, latitude=1506.0, longitude=-694704.0, basin=-]
Station [codename=75000, latitude=4500.0, longitude=-753200.0, basin=-]
Station [codename=75001, latitude=5800.0, longitude=-751200.0, basin=-]
Station [codename=75002, latitude=700.0, longitude=-751500.0, basin=-]
Station [codename=75004, latitude=4500.0, longitude=-753200.0, basin=-]
Station [codename=75005, latitude=700.0, longitude=-751500.0, basin=-]
Station [codename=76000, latitude=2500.0, longitude=-762700.0, basin=-]
Station [codename=76001, latitude=2800.0, longitude=-765900.0, basin=-]
Station [codename=76002, latitude=700.0, longitude=-762000.0, basin=-]
Station [codename=76003, latitude=700.0, longitude=-765700.0, basin=-]
Station [codename=76004, latitude=2500.0, longitude=-760500.0, basin=-]
Station [codename=76005, latitude=300.0, longitude=-763700.0, basin=-]
Station [codename=77000, latitude=1500.0, longitude=-770000.0, basin=-]
Station [codename=77002, latitude=5900.0, longitude=-774900.0, basin=-]
Station [codename=77003, latitude=5500.0, longitude=-774800.0, basin=-]
Station [codename=77004, latitude=500.0, longitude=-773400.0, basin=-]
Station [codename=77005, latitude=2000.0, longitude=-774600.0, basin=-]
Station [codename=77006, latitude=5200.0, longitude=-774600.0, basin=-]
Station [codename=77008, latitude=2200.0, longitude=-775100.0, basin=-]
Station [codename=77009, latitude=700.0, longitude=-773600.0, basin=-]
Station [codename=77010, latitude=3700.0, longitude=-775200.0, basin=-]
Station [codename=77011, latitude=3700.0, longitude=-775300.0, basin=-]
Station [codename=77012, latitude=400.0, longitude=-771700.0, basin=-]
Station [codename=77013, latitude=900.0, longitude=-774300.0, basin=-]
Station [codename=77014, latitude=2000.0, longitude=-775800.0, basin=-]
Station [codename=77015, latitude=2500.0, longitude=-775000.0, basin=-]
Station [codename=77016, latitude=2300.0, longitude=-775000.0, basin=-]
Station [codename=77017, latitude=3600.0, longitude=-773700.0, basin=-]
Station [codename=77018, latitude=4200.0, longitude=-774900.0, basin=-]
Station [codename=77019, latitude=1200.0, longitude=-774200.0, basin=-]
Station [codename=78001, latitude=2145.0, longitude=-783311.0, basin=-]
Station [codename=78002, latitude=4200.0, longitude=-783300.0, basin=-]
Station [codename=78003, latitude=2200.0, longitude=-783300.0, basin=-]
Station [codename=78004, latitude=5500.0, longitude=-783700.0, basin=-]
Station [codename=78005, latitude=1200.0, longitude=-783000.0, basin=-]
Station [codename=78006, latitude=900.0, longitude=-782900.0, basin=-]
Station [codename=78007, latitude=500.0, longitude=-780300.0, basin=-]
Station [codename=78008, latitude=2100.0, longitude=-780800.0, basin=-]
Station [codename=79001, latitude=5845.0, longitude=-793728.0, basin=-]
Station [codename=79002, latitude=1500.0, longitude=-791200.0, basin=-]
Station [codename=79003, latitude=3950.0, longitude=-792305.0, basin=-]
Station [codename=80001, latitude=3500.0, longitude=-802400.0, basin=-]
Station [codename=80002, latitude=5700.0, longitude=-804200.0, basin=-]
Station [codename=89001, latitude=5400.0, longitude=-893600.0, basin=-]
Station [codename=144000, latitude=-15000.0, longitude=-445300.0, basin=-]
Station [codename=144001, latitude=-11800.0, longitude=-445300.0, basin=-]
Station [codename=144002, latitude=-14934.0, longitude=-445204.0, basin=-]
Station [codename=145000, latitude=-12800.0, longitude=-454300.0, basin=-]
Station [codename=145001, latitude=-12400.0, longitude=-454700.0, basin=-]
Station [codename=145002, latitude=-11800.0, longitude=-455200.0, basin=-]
Station [codename=145003, latitude=-15100.0, longitude=-450400.0, basin=-]
Station [codename=145004, latitude=-14300.0, longitude=-452400.0, basin=-]
Station [codename=145005, latitude=-14000.0, longitude=-452200.0, basin=-]
Station [codename=145006, latitude=-12721.0, longitude=-454341.0, basin=-]
Station [codename=146000, latitude=-10419.0, longitude=-465342.0, basin=-]
Station [codename=146001, latitude=-10300.0, longitude=-464700.0, basin=-]
Station [codename=146002, latitude=-11500.0, longitude=-465200.0, basin=-]
Station [codename=146003, latitude=-13600.0, longitude=-461200.0, basin=-]
Station [codename=146004, latitude=-11300.0, longitude=-460100.0, basin=-]
Station [codename=146005, latitude=-14359.0, longitude=-463556.0, basin=-]
Station [codename=146006, latitude=-14800.0, longitude=-461600.0, basin=-]
Station [codename=146007, latitude=-10500.0, longitude=-465600.0, basin=-]
Station [codename=146008, latitude=-14903.0, longitude=-462038.0, basin=-]
Station [codename=146009, latitude=-11353.0, longitude=-461116.0, basin=-]
Station [codename=146010, latitude=-11730.0, longitude=-463501.0, basin=-]
Station [codename=146011, latitude=-13058.0, longitude=-465422.0, basin=-]
Station [codename=146012, latitude=-14756.0, longitude=-464148.0, basin=-]
Station [codename=147000, latitude=-13300.0, longitude=-470700.0, basin=-]
Station [codename=147001, latitude=-12200.0, longitude=-475300.0, basin=-]
Station [codename=147002, latitude=-11213.0, longitude=-471041.0, basin=-]
Station [codename=147003, latitude=-11300.0, longitude=-472000.0, basin=-]
Station [codename=147004, latitude=-12100.0, longitude=-475800.0, basin=-]
Station [codename=147005, latitude=-11900.0, longitude=-473700.0, basin=-]
Station [codename=147006, latitude=-13400.0, longitude=-470600.0, basin=-]
Station [codename=147007, latitude=-11751.0, longitude=-475622.0, basin=-]
Station [codename=147008, latitude=-14039.0, longitude=-474612.0, basin=-]
Station [codename=147009, latitude=-14500.0, longitude=-470500.0, basin=-]
Station [codename=147010, latitude=-10757.0, longitude=-473742.0, basin=-]
Station [codename=147011, latitude=-13919.0, longitude=-472931.0, basin=-]
Station [codename=147012, latitude=-11700.0, longitude=-475500.0, basin=-]
Station [codename=147013, latitude=-14600.0, longitude=-470400.0, basin=-]
Station [codename=147014, latitude=-11700.0, longitude=-475500.0, basin=-]
Station [codename=147015, latitude=-14600.0, longitude=-470400.0, basin=-]
Station [codename=147016, latitude=-13306.0, longitude=-470702.0, basin=-]
Station [codename=147017, latitude=-10219.0, longitude=-475448.0, basin=-]
Station [codename=147018, latitude=-13918.0, longitude=-472931.0, basin=-]
